dmsqa.test4@emxcelsolutions.com,06FHGYR1299F8F3,PRATE1999J,9122221686
dmsqa.test5@emxcelsolutions.com,06FHGYR1299F8F4,PRATE1999K,9122221687
dmsqa.test6@emxcelsolutions.com,06FHGYR1299F8F5,PRATE1999L,9122221688
dmsqa.test1@emxcelsolutions.com,06FHGYR1299F8F9,PRATE1999U,9122221683
dmsqa.test2@emxcelsolutions.com,06FHGYR1299F8F1,PRATE1999H,9122221684
dmsqa.test3@emxcelsolutions.com,06FHGYR1299F8F2,PRATE1999I,9122221685
dmsqa.test7@emxcelsolutions.com,06FHGYR1299F8F6,PRATE1999M,9122221689
dmsqa.test8@emxcelsolutions.com,06FHGYR1299F8F7,PRATE1999N,9122221690
dmsqa.test9@emxcelsolutions.com,06FHGYR1299F8F8,PRATE1999O,9122221691
dmsqa.test10@emxcelsolutions.com,06FHGYR1299F9F9,PRATE1999P,9122221692
dmsqa.test11@emxcelsolutions.com,06FHGYR1299F9F1,PRATE1999Q,9122221693
dmsqa.test12@emxcelsolutions.com,06FHGYR1299F9F2,PRATE1999R,9122221694
dmsqa.test13@emxcelsolutions.com,06FHGYR1299F9F3,PRATE1999S,9122221695
dmsqa.test14@emxcelsolutions.com,06FHGYR1299F9F4,PRATE1999T,9122221696
dmsqa.test15@emxcelsolutions.com,06FHGYR1299F9F5,PRATE1999U,9122221697
dmsqa.test16@emxcelsolutions.com,06FHGYR1299F9F5,PRATE1999V,9122221698
dmsqa.test17@emxcelsolutions.com,06FHGYR1599F9F5,PRATE1999W,9122221699
dmsqa.test18@emxcelsolutions.com,06FHGYR1259F9F5,PRATE1999X,9122221700
dmsqa.test19@emxcelsolutions.com,06FHGYR5299F9F5,PRATE1999Y,9122221701
dmsqa.test20@emxcelsolutions.com,06FHGYR1295F9F5,PRATE1999Z,9122221702
